Inv Date,Inv Date (MMM-YYYY),Material Group Code,Material Group Desc,Material Code,Material Desc,Plant Code,Storage Location Code,Storage Location Desc,Payer Customer Group,Payer Customer Group 1,Payer Customer,Total COGS EA,Total COGS CTN,Total COGS Value,Sales Department Code,Inv - Net NV1,IsFestive,Status,Outlier
2022-01-03,Jan - 2022,179,MORGAN,110088497,MVC-TA161DW VACUUM CLEANER(DRY/WET/BLOW),MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),JPS TRADING (103020418),20,20.0,3352.91,E6,4000.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110363742,MAC-COOL3 AIR COOLER 1600CBM/10L,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),KUANG HUAT ELECTRICAL SALES (103020524),2,2.0,556.46,E6,0.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110407930,MPG-2898 PAN GRILL NON-STICK COATED,MY01,2020,Century                                           ,INS. - OFFICE (I8), (),DKSH CG INTER-DEPARTMENT SALES (103027284),1,0.25,86.0,E6,109.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110407930,MPG-2898 PAN GRILL NON-STICK COATED,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),YU HENG ELECTRIC SDN BHD (103020509),4,1.0,343.98,E6,568.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110493826,MRC-TC28 TRADITIONAL RICE COOKER 2.8L,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),HENG WANG ELECTRICAL (M) (103028314),4,2.0,252.21,E6,388.64,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110493881,MJK-1017L JUG KETTLE (1.7L),MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),WINSPIRATION ALLIANCES (103023272),60,30.0,1927.26,E6,3180.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110493881,MJK-1017L JUG KETTLE (1.7L),MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),YU HENG ELECTRIC SDN BHD (103020509),12,6.0,385.45,E6,816.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110524756,MCC-2002 CERAMIC COOKER 2000W,MY01,2020,Century                                           ,INS. - OFFICE (I8), (),DKSH CG INTER-DEPARTMENT SALES (103027284),1,1.0,94.02,E6,169.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110527262,MBH-GC1122 BIH GLASS 2 BURNER,MY01,2021,Century-Qrntine                                   ,SPECIALITY STORES TT (SG), (),ADAMAS TRADING (M) SDN BHD (103020632),-1,-1.0,-191.63,E6,-262.58,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110544774,MJK-8017LS JUG KETTLE S/STEEL (1.7L),MY01,2021,Century-Qrntine                                   ,SPECIALITY STORES TT (SG), (),JCMS PROREWARDS SDN BHD (103020456),-3,-1.5,-124.2,E6,-291.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110596791,"MVF-WA80 VENTILATING FAN 8""",MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),HLK (CHAIN-STORE) SDN BHD (103026749),16,16.0,482.41,E6,624.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110596792,"MVF-WA100 VENTILATING FAN 10""",MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),HLK (CHAIN-STORE) SDN BHD (103026749),15,15.0,496.26,E6,660.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110596796,"MVF-WA120 VENTILATING FAN 12""",MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),HLK (CHAIN-STORE) SDN BHD (103026749),12,12.0,472.63,E6,648.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110596804,MAC-COOL10A AIR COOLER 1650CFM/60L,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),KUANG HUAT ELECTRICAL SALES (103020524),6,6.0,3061.24,E6,5265.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110609414,MGS-SC9516CD GAS STOVE (SS/135X135MM),MY01,2021,Century-Qrntine                                   ,REDEMPTION HOUSE (R1), (),TRI E MARKETING SDN BHD (103021507),1,1.0,117.66,E6,196.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110672529,MWF-NC168MS WALL FAN (MANUAL),MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),YU HENG ELECTRIC SDN BHD (103020509),8,8.0,580.8,E6,896.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110678809,MMC-3300A MULTI PURPOSE COOKER 3L,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),BLT ELECTRONICS SDN BHD (103025245),10,10.0,614.75,E6,0.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110678809,MMC-3300A MULTI PURPOSE COOKER 3L,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),RI-TECH AUDIO & ELECTRONICS SDN BHD (103030148),2,2.0,122.95,E6,0.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110680926,MUF-1280L UPRIGHT FREEZER 285L,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),ENG HOCK ENTERPRISE (103025106),1,1.0,954.71,E6,1760.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110680926,MUF-1280L UPRIGHT FREEZER 285L,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),JH ECOMMERCE SDN BHD (103028155),5,5.0,4773.54,E6,8800.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110680931,MCF-3507L CHEST FREEZER (303L),MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),CHOP GUAN SENG (103021360),2,2.0,1244.04,E6,1910.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110680932,MCF-4507L CHEST FREEZER (423L),MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),CSM E MART SDN BHD (103026850),1,1.0,891.21,E6,1307.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110680933,MCF-5507L CHEST FREEZER (520L),MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),CHOP GUAN SENG (103021360),1,1.0,1074.67,E6,1680.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110681848,MSG-27MAXICARE STEAM GENERATOR,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),BLT ELECTRONICS SDN BHD (103025245),1,1.0,197.55,E6,0.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110703388,MAF-C607 AIR FRYER 2.8L,MY01,2020,Century                                           ,INS. - OFFICE (I8), (),DKSH CG INTER-DEPARTMENT SALES (103027284),1,1.0,128.76,E6,184.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110703388,MAF-C607 AIR FRYER 2.8L,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),JPS TRADING (103020418),18,18.0,2317.69,E6,3132.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110703388,MAF-C607 AIR FRYER 2.8L,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),YU HENG ELECTRIC SDN BHD (103020509),6,6.0,772.56,E6,1074.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110710676,MWM-1370SA SEMI AUTO WASHER 7KG,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),MTT SOLUTIONS SDN BHD (103027510),1,1.0,213.26,E6,292.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110710677,MWM-1310SA SEMI AUTO WASHER 10KG,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),BLT ELECTRONICS SDN BHD (103025245),7,7.0,2179.87,E6,3465.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110710677,MWM-1310SA SEMI AUTO WASHER 10KG,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),RI-TECH AUDIO & ELECTRONICS SDN BHD (103030148),3,3.0,934.23,E6,1485.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110710677,MWM-1310SA SEMI AUTO WASHER 10KG,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),YU HENG ELECTRIC SDN BHD (103020509),3,3.0,934.23,E6,1302.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110710678,MWM-1312SA SEMI AUTO WASHER 12KG,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),BLT ELECTRONICS SDN BHD (103025245),8,8.0,2852.94,E6,4600.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110724518,MCF-0958L CHEST FREEZER (80L),MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),HONG SHEN SUCCESS ENTERPRISE (103031619),10,10.0,3470.18,E6,4650.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110724518,MCF-0958L CHEST FREEZER (80L),MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),JPS TRADING (103020418),6,6.0,2082.11,E6,2730.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110724518,MCF-0958L CHEST FREEZER (80L),MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),YU HENG ELECTRIC SDN BHD (103020509),3,3.0,1041.05,E6,1395.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110724519,MCF-1178L CHEST FREEZER (100L),MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),PERNIAGAAN BINTANG EMAS (103028157),4,4.0,1569.52,E6,2100.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110730564,MRC-2310J JAR RICE COOKER 1.0L,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),YU HENG ELECTRIC SDN BHD (103020509),6,6.0,284.76,E6,354.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110730612,MPB-MAXIMUS 15 POWER BLENDER 1400W,MY01,2020,Century                                           ,INS. - OFFICE (I8), (),DKSH CG INTER-DEPARTMENT SALES (103027284),1,1.0,197.73,E6,269.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110730612,MPB-MAXIMUS 15 POWER BLENDER 1400W,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),ENG HOCK ENTERPRISE (103025106),1,1.0,197.73,E6,0.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110730612,MPB-MAXIMUS 15 POWER BLENDER 1400W,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),JH ECOMMERCE SDN BHD (103028155),5,5.0,988.63,E6,0.0,True,Active,False
2022-01-03,Jan - 2022,179,MORGAN,110748646,MVC-CYCLONE 60 UPRIGHT VACUUM,MY01,2020,Century                                           ,SPECIALITY STORES TT (SG), (),YU HENG ELECTRIC SDN BHD (103020509),20,20.0,1009.26,E6,1760.0,True,Active,False
