Inv Date,Inv Date (MMM-YYYY),Material Group Code,Material Group Desc,Material Code,Material Desc,Plant Code,Storage Location Code,Storage Location Desc,Payer Customer Group,Payer Customer Group 1,Payer Customer,Total COGS EA,Total COGS CTN,Total COGS Value,Sales Department Code,Inv - Net NV1,IsFestive,Status,Outlier
2023-01-01,Jan - 2023,179,MORGAN,110505607,MSM-SB1500 STAND MIXER 1500W,MY01,2021.0,Century-Qrntine                                   ,SPECIALITY STORES (SG), (),MACRO ONESTOP CENTRE SDN BHD (103029276),-4,-4.0,-2330.52,E6,0.0,True,Active,False
2023-01-01,Jan - 2023,179,MORGAN,110724518,MCF-0958L CHEST FREEZER (80L),MY01,3005.0,Demo-Home Appl                                    ,SPECIALITY STORES (SG), (),DICKSON ENTERPRISE (103020503),-2,-2.0,-722.52,E6,0.0,True,Active,False
2023-01-01,Jan - 2023,179,MORGAN,110895817,MCM-NC12C COFFEE MAKER (12CUP/1.5L),MY01,3005.0,Demo-Home Appl                                    ,SPECIALITY STORES (SG), (),OZORA TRADING SDN BHD (103033094),-1,-1.0,-47.38,E6,0.0,True,Active,False
2023-01-03,Jan - 2023,179,MORGAN,110088497,MVC-TA161DW VACUUM CLEANER(DRY/WET/BLOW),MY01,2020.0,Century                                           ,SPECIALITY STORES (SG), (),CHOP HUP HENG (103020300),6,6.0,1049.4,E6,1417.5,True,Active,False
2023-01-03,Jan - 2023,179,MORGAN,110398316,MGS-7313S GAS STOVE (SS/130X130MM),MY01,2020.0,Century                                           ,SPECIALITY STORES (SG), (),KCS RESOURCES CORPORATION(M) (103028729),16,16.0,1165.31,E6,1676.16,True,Active,False
2023-01-03,Jan - 2023,179,MORGAN,110398316,MGS-7313S GAS STOVE (SS/130X130MM),MY01,2020.0,Century                                           ,SPECIALITY STORES (SG), (),PERNIAGAAN JIN CHEW (103028318),6,6.0,436.99,E6,654.0,True,Active,False
2023-01-03,Jan - 2023,179,MORGAN,110493826,MRC-TC28 TRADITIONAL RICE COOKER 2.8L,MY01,2020.0,Century                                           ,SPECIALITY STORES (SG), (),NAVISONIC SDN BHD (103033249),8,4.0,562.81,E6,784.0,True,Active,False
2023-01-03,Jan - 2023,179,MORGAN,110493826,MRC-TC28 TRADITIONAL RICE COOKER 2.8L,MY01,2020.0,Century                                           ,SPECIALITY STORES (SG), (),PERNIAGAAN JIN CHEW (103028318),6,3.0,422.11,E6,630.0,True,Active,False
2023-01-03,Jan - 2023,179,MORGAN,110504520,MBH-622 OPTIFLEX BIH GLASS 2 BURNER,MY01,2020.0,Century                                           ,SPECIALITY STORES (SG), (),VEGA FIVE ELECTRIC & ELECTRONICS (103020311),1,1.0,327.99,E6,474.75,True,Active,False
2023-01-03,Jan - 2023,179,MORGAN,110518278,MJE-AA05W JUICE EXTRACTOR,MY01,2020.0,Century                                           ,SPECIALITY STORES (SG), (),KCS RESOURCES CORPORATION(M) (103028729),18,6.0,1000.72,E6,1335.69,True,Active,False
2023-01-03,Jan - 2023,179,MORGAN,110518278,MJE-AA05W JUICE EXTRACTOR,MY01,2020.0,Century                                           ,SPECIALITY STORES (SG), (),NAVISONIC SDN BHD (103033249),10,3.33333333333333,555.96,E6,750.0,True,Active,False
2023-01-03,Jan - 2023,179,MORGAN,110524754,MJE-SC160W JUICE EXTRACTOR (600W),MY01,2020.0,Century                                           ,SPECIALITY STORES (SG), (),VEGA FIVE ELECTRIC & ELECTRONICS (103020311),1,1.0,92.99,E6,115.0,True,Active,False
